    PID USER     %MEM COMMAND
   9728 liveuser  7.8 /usr/bin/gnome-shell
  10194 liveuser  3.6 /usr/bin/nautilus --gapplication-service
  10894 liveuser  2.8 /usr/bin/gedit --gapplication-service
   9757 liveuser  2.4 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.ZNUGJ0 -listen 4 -listen 5 -displayfd 6
  10677 liveuser  2.3 /usr/libexec/gnome-terminal-server
   9960 liveuser  2.3 /usr/libexec/evolution-data-server/evolution-alarm-notify
   1038 root      1.6 /usr/bin/python3 /usr/sbin/firewalld --nofork --nopid
   1591 root      1.4 /usr/libexec/sssd/sssd_kcm --uid 0 --gid 0 --logger=files
   9867 liveuser  1.4 /usr/libexec/ibus-x11 --kill-daemon
   9992 liveuser  1.2 /usr/libexec/tracker-miner-fs
   9922 liveuser  1.2 /usr/libexec/gsd-power
   9917 liveuser  1.2 /usr/libexec/gsd-media-keys
   9908 liveuser  1.2 /usr/libexec/gsd-color
   1118 polkitd   1.1 /usr/lib/polkit-1/polkitd --no-debug
   9964 liveuser  1.1 /usr/libexec/gsd-xsettings
   9955 liveuser  1.1 /usr/libexec/gsd-wacom
   9916 liveuser  1.1 /usr/libexec/gsd-keyboard
   9809 liveuser  1.1 /usr/libexec/goa-daemon
   9876 liveuser  1.1 /usr/libexec/evolution-calendar-factory
    837 root      1.0 /usr/lib/systemd/systemd-journald
   9803 liveuser  1.0 /usr/libexec/evolution-source-registry
   9897 liveuser  0.9 /usr/libexec/evolution-addressbook-factory
   9799 liveuser  0.8 /usr/libexec/gnome-shell-calendar-server
   9706 liveuser  0.8 /usr/libexec/gnome-session-binary --systemd-service --session=gnome
   9970 liveuser  0.8 /usr/bin/abrt-applet --gapplication-service
   1173 root      0.7 /usr/sbin/NetworkManager --no-daemon
  10036 liveuser  0.7 /usr/libexec/gsd-printer
   9912 liveuser  0.7 /usr/libexec/gsd-datetime
      1 root      0.6 /usr/lib/systemd/systemd --switched-root --system --deserialize 29
   9947 liveuser  0.6 /usr/libexec/gsd-smartcard
   9944 liveuser  0.6 /usr/libexec/gsd-sharing
   9923 liveuser  0.6 /usr/libexec/gsd-print-notifications
   9627 liveuser  0.6 /usr/libexec/gnome-session-binary
   9311 liveuser  0.6 /usr/bin/pulseaudio --daemonize=no
    851 root      0.5 /usr/lib/systemd/systemd-udevd
   1051 root      0.5 /usr/libexec/udisks2/udisksd
   9821 liveuser  0.5 /usr/libexec/gvfs-udisks2-volume-monitor
  10197 liveuser  0.5 /usr/libexec/gvfsd-trash --spawner :1.5 /org/gtk/gvfs/exec_spaw/0
   9959 liveuser  0.5 /usr/libexec/gsd-wwan
   9949 liveuser  0.5 /usr/libexec/gsd-sound
   1956 colord    0.5 /usr/libexec/colord
   9857 liveuser  0.5 ibus-daemon --panel disable -r --xim
   9603 root      0.5 gdm-session-worker [pam/gdm-password]
   1248 root      0.4 /usr/sbin/gdm
   1981 root      0.4 /usr/sbin/abrt-dbus -t133
   1304 liveuser  0.4 /usr/lib/systemd/systemd --user
   1132 root      0.4 /usr/lib/systemd/systemd-logind
   1102 root      0.4 /usr/libexec/sssd/sssd_be --domain implicit_files --uid 0 --gid 0 --logger=files
   9871 liveuser  0.4 /usr/libexec/ibus-portal
  10033 liveuser  0.4 /usr/libexec/ibus-engine-simple
